code,ddmmyy,time,city,venue,maplink,ticketlink,otd
MAN110525,110525,,Manchester,Mother Mary's  Bar,https://maps.app.goo.gl/3eV6nZNzozkA9NwRA,,true
LIV180725,180725,,Liverpool,Outpost,https://maps.app.goo.gl/BbyJF9wP2zZwakaP7,,true
